阴阳师玩家昵称最多多少个字-C. 8
卑弥呼御魂副本主要产出哪些御魂？-C. 飞缘魔、兵主部、青女房、涂佛
以下哪个场景，可能出现小纸人？-B. 其余选项皆对
2019年总共出了多少只ssr？-B. 5
铁鼠胸口的木牌上写的字是？-D. 奉纳
青行灯是在哪里第一次遇到凤凰火的？-A. 凤凰林
蟹姬的哪只手是螃蟹钳子-B. 左手
以下哪个式神常用于逢魔之时副本-C. 丑时之女
酒吞呱的好朋友是谁？-D. 茨木呱
惠比寿的鲤鱼旗最高可继承惠比寿多少的生命值？-C. 0.6
御魂「涅槃之火」的四件套可能触发的效果是？-B. 回复生命
柴犬的每日奖励会提供哪种加成？-A. 金币加成
用以下哪种道具，是无法召唤出SSR式神的？-B. 破碎的符咒
御魂「网切」的四件套可能触发的效果是？-C. 无视目标部分防御
在大江山迷路的是哪个军团？-A. 鬼切军团
阴阳师勾玉超过多少会显示万？-B. 超过100000勾玉
六星白蛋可以使用转换券吗-B. 不能
以下哪个技能可以为己方提供鬼火？-A. 福祸相生
御魂「破势」的两件套可能触发的效果是？-A. 暴击加成
柴犬的每日奖励会提供哪种加成？-A. 金币加成
鬼切的三把佩刀分别叫什么-B. 髭切，友切，狮子之子
以下式神中，哪一位是可爱的女孩子？-A. 座敷童子
独眼小僧背着的石僧是他的？-D. 师父
挑战石距副本，需要消耗多少体力？-D. 30
铁鼠的口头禅是什么？-B. 家有一鼠，如有一宝
御魂「火灵」的四件套可能触发的效果是？-B. 获得鬼火
剧情中，赌上性命举行仪式暂时封印八岐大蛇的人是？-C. 京都的阴阳师
以下哪个式神的背景含有日夜变换特效-A. 稻荷神御馔津
彼岸花的花海层数越高，外观上有什么变化？-A. 红色加深，盏盏灯升起
每天为其他阴阳师点赞的上限是多少次-A. 20
第一个皮肤副本（秘闻副本）获得的皮肤的名字？-B. 稚兔童心
海国军队攻打的第一个地区是-C. 荒川
以下妖怪中，手里把玩剑玉的是谁？-D. 天邪鬼赤
以下哪个技能可以增加己方行动条？-A. 兔子舞
山兔的兔子舞在技能等级是一级的时候是拉多少行动条-A. 30%
以下式神中，从画中而生的是？-A. 花鸟卷
剧情中，辉夜姬的好朋友是谁？-A. 金鱼姬
每日通过向阴阳寮捐赠勾玉最多可以获得多少功勋？-C. 50
第一个sp式神是-A. 少羽大天狗
下面哪个不是阴阳师版本的名称-B. 平安奇妙物语
一目连曾经是-B. 风神
以下哪个技能可以沉默敌人？-A. 怨魂重压
截至2020年1月1日八岐大蛇的最新皮肤叫什么名字-C. 祸隐狭间
御魂最高星级是几级？-A. 六星
阴阳师的第一款IP衍生游戏是什么-C. 决战平安京
铁鼠胸口的木牌上写的字是？-D. 奉纳
茨木童子失去的是哪只手？-A. 右手
入殓师和一反木绵的故事是谁讲述的-B. 天井下
鬼切的三把佩刀分别叫什么-A. 髭切，友切，狮子之子
用以下哪种道具，是无法召唤出SSR式神的？-B. 破碎的符咒
以下式神中，声优和其他不一样的是？-C. 桃花妖
鬼女红叶最开始是被谁从妖怪手中救下的-B. 晴明
以下哪个式神可以给团队副本带来金钱加成-A. 铁鼠
久次良处于进攻姿态时的普攻技能叫做？-B. 鲸骨·开
黑晴明的式神是？-D. 大天狗和雪女
以下妖怪中，被称为风神的是谁？-A. 一目连
以下技能中，哪一个是群体攻击技能？-D. 千羽风之舞
御魂「薙魂」的两件套可能触发的效果是？-B. 生命加成
酒吞呱的好朋友是谁？-A. 茨木呱
初始庭院皮肤中八百比丘尼上方的风铃有什么作用？-C. 点击可以更换bgm
两面佛的两面分别是什么？-A. 风神雷神
